symbol,equity,test_year,price,lowT,highT,trades,in_days,t-val,p-val,exp_ret,volatility,years,sharpe,beat_pct
LNT,ALLIANT ENERGY CORP,2017,40.45302522,0.24375,0.73125,15,164,1.847810027,0.066347304,19.17807366,0.071161375,0.98630137,2.240602544,8.908568418
LNT,ALLIANT ENERGY CORP,2018,41.42976382,0.25,0.6375,16,166,1.470902649,0.143225735,7.065092697,0.112436645,0.994520548,0.320537743,23.72947143
LNT,ALLIANT ENERGY CORP,2019,52.5125,0.14375,0.63125,6,154,2.294390679,0.02411273,28.99841436,0.093240138,0.789041096,3.566217646,19.80894284
AEE,AMEREN CORP,2002,18.923128,0.325,0.7,16,164,1.23486664,0.218795342,23.73494299,0.114369727,0.994520548,1.780690965,23.52366521
AEE,AMEREN CORP,2003,22.14162696,0.3,0.8,20,124,2.030211046,0.043411143,11.10156457,0.072940543,0.994520548,1.050544721,-5.069169219
AEE,AMEREN CORP,2004,25.49225156,0.25,0.64375,20,152,0.767244359,0.44385518,14.06736349,0.078011226,0.997260274,1.359549215,9.315777753
AEE,AMEREN CORP,2005,27.35660226,0.21875,0.68125,10,192,0.276532769,0.782639426,16.43402526,0.085394521,0.989041096,1.535943943,9.961444642
AEE,AMEREN CORP,2006,30.13362286,0.2375,0.71875,12,187,0.760528591,0.448386275,8.528973175,0.075105697,0.98630137,0.685358283,-2.181707153
AEE,AMEREN CORP,2007,31.88548621,0.2,0.6875,12,177,1.417243341,0.158550948,19.5387917,0.110354694,0.991780822,1.468058569,-3.158279522
AEE,AMEREN CORP,2008,20.6744461,0.20625,0.75,15,176,-0.820075393,0.41367063,7.377934719,0.272205254,0.997260274,0.143208249,27.59544311
AEE,AMEREN CORP,2009,18.88132674,0.275,0.49375,24,180,0.297081609,0.767067122,9.260812102,0.242277153,0.994520548,0.239883777,-5.18356609
AEE,AMEREN CORP,2010,19.93508682,0.2125,0.75,10,159,1.087994128,0.278057591,12.44125501,0.124478663,0.989041096,0.729370642,9.894504207
AEE,AMEREN CORP,2011,24.91934214,0.28125,0.68125,21,136,1.603184725,0.110301254,28.60150337,0.130376133,0.989041096,1.949621993,28.67005087
AEE,AMEREN CORP,2012,23.93080994,0.225,0.65625,16,193,-0.297612889,0.766550343,-1.718185835,0.101100081,0.994520548,-0.517076975,-14.52684548
AEE,AMEREN CORP,2013,29.7524563,0.2875,0.6375,23,151,-0.193265897,0.846951977,23.72540276,0.096339307,0.994520548,2.112961145,2.021055076
AEE,AMEREN CORP,2014,39.9540568,0.3125,0.59375,19,154,1.741798096,0.083309059,46.04831155,0.120045552,0.994520548,3.565481633,32.77955833
